TAG,NAME,PURPOSE,URL,OPTIONS
,qutebrowser,vim based browser,
,ranger,file manager
,rofi,d menu
,xfce4-terminal,terminal
,xbacklight, Laptop brightness
,playerctl, Media controls
,alsa-utils, volume control
,lightdm, display manager and lock screen
,xautolock, autolocker
,scrot, for screenshots
,feh, images
,compton,
,vim, terminal text editor
,xinit,
,xserver-xorg,
,chromium, web broswer
,gimp, image editor
,i3status,
deb,atom,text editor,https://github.com/atom/atom/releases/download/v1.34.0/atom-amd64.deb
tar,firefox, web broswer,https://download.mozilla.org/?product=firefox-latest-ssl&os=linux64&lang=en-US
